Time (s),System Output,ControllerOutput
4.11,0.199732,9.86031
4.12,0.199732,9.86034
4.13,0.199732,9.86036
4.14,0.199732,9.86038
4.15,0.199732,9.86041
4.16,0.199732,9.86043
4.17,0.199732,9.86046
4.18,0.199732,9.86048
4.19,0.199732,9.86051
4.2,0.199731,9.86053
4.21,0.199731,9.86056
4.22,0.199731,9.86058
4.23,0.199731,9.86061
4.24,0.199731,9.86063
4.25,0.199731,9.86066
4.26,0.199731,9.86068
4.27,0.199731,9.86071
4.28,0.199731,9.86073
4.29,0.19973,9.86076
4.3,0.19973,9.86078
4.31,0.19973,9.86081
4.32,0.19973,9.86083
4.33,0.19973,9.86086
4.34,0.19973,9.86088
4.35,0.19973,9.86091
4.36,0.199729,9.86093
4.37,0.199729,9.86096
4.38,0.199729,9.86098
4.39,0.199729,9.861
4.4,0.199729,9.86103
4.41,0.199729,9.86105
4.42,0.199728,9.86108
4.43,0.199728,9.8611
4.44,0.199728,9.86113
4.45,0.199728,9.86115
4.46,0.199728,9.86118
4.47,0.199727,9.8612
4.48,0.199727,9.86123
4.49,0.199727,9.86125
4.5,0.199727,9.86128
4.51,0.199727,9.8613
4.52,0.199726,9.86133
4.53,0.199726,9.86135
4.54,0.199726,9.86138
4.55,0.199726,9.8614
4.56,0.199725,9.86143
4.57,0.199725,9.86145
4.58,0.199725,9.86148
4.59,0.199725,9.8615
4.6,0.199724,9.86153
4.61,0.199724,9.86155
4.62,0.199724,9.86158
4.63,0.199724,9.8616
4.64,0.199723,9.86162
4.65,0.199723,9.86165
4.66,0.199723,9.86167
4.67,0.199722,9.8617
4.68,0.199722,9.86172
4.69,0.199694,9.86175
4.7,0.199678,9.86177
4.71,0.199668,9.8618
4.72,0.199662,9.86182
4.73,0.199659,9.86184
4.74,0.199658,9.86187
4.75,0.199657,9.86189
4.76,0.199657,9.86191
4.77,0.199657,9.86194
4.78,0.199657,9.86196
4.79,0.199658,9.86199
4.8,0.199658,9.86201
4.81,0.199659,9.86203
4.82,0.199659,9.86206
4.83,0.19966,9.86208
4.84,0.19966,9.86211
4.85,0.199661,9.86213
4.86,0.199661,9.86215
4.87,0.199662,9.86218
4.88,0.199663,9.8622
4.89,0.199663,9.86222
4.9,0.199664,9.86225
4.91,0.199664,9.86227
4.92,0.199665,9.8623
4.93,0.199665,9.86232
4.94,0.199666,9.86234
4.95,0.199666,9.86237
4.96,0.199667,9.86239
4.97,0.199667,9.86242
4.98,0.199668,9.86244
4.99,0.199668,9.86246
5,0.199669,9.86249
5.01,0.19967,9.86251
5.02,0.19967,9.86253
5.03,0.199671,9.86256
5.04,0.199671,9.86258
5.05,0.199671,9.86261
5.06,0.199672,9.86263
5.07,0.199672,9.86265
5.08,0.199673,9.86268
5.09,0.199673,9.8627
5.1,0.199674,9.86273
5.11,0.199674,9.86275
5.12,0.199675,9.86277
5.13,0.199675,9.8628
5.14,0.199676,9.86282
5.15,0.199676,9.86284
5.16,0.199677,9.86287
5.17,0.199677,9.86289
5.18,0.199677,9.86292
5.19,0.199678,9.86294
5.2,0.199678,9.86296
5.21,0.199679,9.86299
5.22,0.199679,9.86301
5.23,0.19968,9.86304
5.24,0.19968,9.86306
5.25,0.19968,9.86308
5.26,0.199681,9.86311
5.27,0.199681,9.86313
5.28,0.199682,9.86315
5.29,0.199682,9.86318
5.3,0.199682,9.8632
5.31,0.199683,9.86323
5.32,0.199683,9.86325
5.33,0.199684,9.86327
5.34,0.199684,9.8633
5.35,0.199684,9.86332
5.36,0.199685,9.86335
5.37,0.199685,9.86337
5.38,0.199685,9.86339
5.39,0.199686,9.86342
5.4,0.199686,9.86344
5.41,0.199686,9.86346
5.42,0.199687,9.86349
5.43,0.199687,9.86351
5.44,0.199687,9.86354
5.45,0.199688,9.86356
5.46,0.199688,9.86358
5.47,0.199688,9.86361
5.48,0.199689,9.86363
5.49,0.199689,9.86366
5.5,0.199689,9.86368
5.51,0.19969,9.8637
5.52,0.19969,9.86373
5.53,0.19969,9.86375
5.54,0.19969,9.86377
5.55,0.199691,9.8638
5.56,0.199691,9.86382
5.57,0.199691,9.86385
5.58,0.199692,9.86387
5.59,0.199692,9.86389
5.6,0.199692,9.86392
5.61,0.199692,9.86394
5.62,0.199693,9.86397
5.63,0.199693,9.86399
5.64,0.199693,9.86401
5.65,0.199693,9.86404
5.66,0.199694,9.86406
5.67,0.199694,9.86408
5.68,0.199694,9.86411
5.69,0.199694,9.86413
5.7,0.199694,9.86416
5.71,0.199695,9.86418
5.72,0.199695,9.8642
5.73,0.199695,9.86423
5.74,0.199695,9.86425
5.75,0.199695,9.86427
5.76,0.199696,9.8643
5.77,0.199696,9.86432
5.78,0.199696,9.86435
5.79,0.199696,9.86437
5.8,0.199696,9.86439
5.81,0.199697,9.86442
5.82,0.199697,9.86444
5.83,0.199697,9.86447
5.84,0.199697,9.86449
5.85,0.199697,9.86451
5.86,0.199697,9.86454
5.87,0.199697,9.86456
5.88,0.199698,9.86458
5.89,0.199698,9.86461
5.9,0.199698,9.86463
5.91,0.199698,9.86466
5.92,0.199698,9.86468
5.93,0.199698,9.8647
5.94,0.199698,9.86473
5.95,0.199699,9.86475
5.96,0.199699,9.86478
5.97,0.199699,9.8648
5.98,0.199699,9.86482
5.99,0.199699,9.86485
6,0.199699,9.86487
6.01,0.199699,9.86489
6.02,0.199699,9.86492
6.03,0.199699,9.86494
6.04,0.199699,9.86497
6.05,0.199699,9.86499
6.06,0.1997,9.86501
6.07,0.1997,9.86504
6.08,0.1997,9.86506
6.09,0.1997,9.86509
6.1,0.1997,9.86511
6.11,0.1997,9.86513
6.12,0.1997,9.86516
6.13,0.1997,9.86518
6.14,0.1997,9.8652
6.15,0.1997,9.86523
6.16,0.1997,9.86525
6.17,0.1997,9.86528
6.18,0.1997,9.8653
6.19,0.1997,9.86532
6.2,0.1997,9.86535
6.21,0.1997,9.86537
6.22,0.1997,9.8654
6.23,0.1997,9.86542
6.24,0.1997,9.86544
6.25,0.1997,9.86547
6.26,0.1997,9.86549
6.27,0.1997,9.86551
6.28,0.1997,9.86554
6.29,0.1997,9.86556
6.3,0.1997,9.86559
6.31,0.1997,9.86561
6.32,0.1997,9.86563
6.33,0.1997,9.86566
6.34,0.1997,9.86568
6.35,0.1997,9.86571
6.36,0.1997,9.86573
6.37,0.1997,9.86575
6.38,0.1997,9.86578
6.39,0.199699,9.8658
6.4,0.199699,9.86582
6.41,0.199699,9.86585
6.42,0.199699,9.86587
6.43,0.199699,9.8659
6.44,0.199699,9.86592
6.45,0.199699,9.86594
6.46,0.199699,9.86597
6.47,0.199699,9.86599
6.48,0.199699,9.86602
6.49,0.199699,9.86604
6.5,0.199698,9.86606
6.51,0.199698,9.86609
6.52,0.199698,9.86611
6.53,0.199698,9.86613
6.54,0.199698,9.86616
6.55,0.199698,9.86618
6.56,0.199698,9.86621
6.57,0.199697,9.86623
6.58,0.199697,9.86625
6.59,0.199697,9.86628
6.6,0.199697,9.8663
6.61,0.199697,9.86633
6.62,0.199697,9.86635
6.63,0.199697,9.86637
6.64,0.199696,9.8664
6.65,0.199696,9.86642
6.66,0.199696,9.86644
6.67,0.199696,9.86647
6.68,0.199696,9.86649
6.69,0.199668,9.86652
6.7,0.199651,9.86654
6.71,0.199614,9.86656
6.72,0.199592,9.86658
6.73,0.19958,9.8666
6.74,0.199573,9.86663
6.75,0.19957,9.86665
6.76,0.199569,9.86667
6.77,0.199569,9.86669
6.78,0.199569,9.86671
6.79,0.19957,9.86674
6.8,0.199571,9.86676
6.81,0.199573,9.86678
6.82,0.199574,9.8668
6.83,0.199576,9.86682
6.84,0.199577,9.86685
6.85,0.199579,9.86687
6.86,0.199581,9.86689
6.87,0.199582,9.86691
6.88,0.199584,9.86693
6.89,0.199585,9.86695
6.9,0.199587,9.86698
6.91,0.199589,9.867
6.92,0.19959,9.86702
6.93,0.199592,9.86704
6.94,0.199593,9.86706
6.95,0.199595,9.86709
6.96,0.199597,9.86711
6.97,0.199598,9.86713
6.98,0.1996,9.86715
6.99,0.199601,9.86717
7,0.199603,9.8672
7.01,0.199604,9.86722
7.02,0.199606,9.86724
7.03,0.199608,9.86726
7.04,0.199609,9.86728
7.05,0.199611,9.86731
7.06,0.199612,9.86733
7.07,0.199614,9.86735
7.08,0.199615,9.86737
7.09,0.199617,9.86739
7.1,0.199618,9.86742
7.11,0.19962,9.86744
7.12,0.199621,9.86746
7.13,0.199623,9.86748
7.14,0.199624,9.8675
7.15,0.199626,9.86753
7.16,0.199628,9.86755
7.17,0.199629,9.86757
7.18,0.199631,9.86759
7.19,0.199632,9.86761
7.2,0.199634,9.86763
7.21,0.199635,9.86766
7.22,0.199636,9.86768
7.23,0.199638,9.8677
7.24,0.199639,9.86772
7.25,0.199641,9.86774
7.26,0.199642,9.86777
7.27,0.199644,9.86779
7.28,0.199645,9.86781
7.29,0.199647,9.86783
7.3,0.199648,9.86785
7.31,0.19965,9.86788
7.32,0.199651,9.8679
7.33,0.199653,9.86792
7.34,0.199682,9.86794
7.35,0.199699,9.86797
7.36,0.19971,9.86799
7.37,0.199717,9.86801
7.38,0.199721,9.86803
7.39,0.199724,9.86806
7.4,0.199726,9.86808
7.41,0.199727,9.8681
7.42,0.199728,9.86813
7.43,0.199728,9.86815
7.44,0.199729,9.86817
7.45,0.19973,9.86819
7.46,0.19973,9.86822
7.47,0.199731,9.86824
7.48,0.199731,9.86826
7.49,0.199732,9.86829
7.5,0.199732,9.86831
7.51,0.199732,9.86833
7.52,0.199733,9.86835
7.53,0.199733,9.86838
7.54,0.199734,9.8684
7.55,0.199734,9.86842
7.56,0.199735,9.86845
7.57,0.199735,9.86847
7.58,0.199735,9.86849
7.59,0.199736,9.86852
7.6,0.199736,9.86854
7.61,0.199737,9.86856
7.62,0.199737,9.86858
7.63,0.199737,9.86861
7.64,0.199738,9.86863
7.65,0.199738,9.86865
7.66,0.199738,9.86868
7.67,0.199739,9.8687
7.68,0.199739,9.86872
7.69,0.19974,9.86874
7.7,0.19974,9.86877
7.71,0.19974,9.86879
7.72,0.199741,9.86881
7.73,0.199741,9.86884
7.74,0.199741,9.86886
7.75,0.199742,9.86888
7.76,0.199742,9.8689
7.77,0.199742,9.86893
7.78,0.199743,9.86895
7.79,0.199743,9.86897
7.8,0.199743,9.869
7.81,0.199744,9.86902
7.82,0.199744,9.86904
7.83,0.199744,9.86906
7.84,0.199744,9.86909
7.85,0.199745,9.86911
7.86,0.199745,9.86913
7.87,0.199745,9.86916
7.88,0.199746,9.86918
7.89,0.199746,9.8692
7.9,0.199746,9.86922
7.91,0.199746,9.86925
7.92,0.199747,9.86927
7.93,0.199747,9.86929
7.94,0.199747,9.86932
7.95,0.199775,9.86934
7.96,0.199792,9.86936
7.97,0.199801,9.86939
7.98,0.199807,9.86941
7.99,0.19981,9.86944
8,0.199811,9.86946
8.01,0.199812,9.86948
8.02,0.199812,9.86951
8.03,0.199812,9.86953
8.04,0.199811,9.86955
8.05,0.199811,9.86958
8.06,0.19981,9.8696
8.07,0.199809,9.86963
8.08,0.199809,9.86965
8.09,0.199808,9.86967
8.1,0.199807,9.8697
8.11,0.199806,9.86972
8.12,0.199806,9.86975
8.13,0.199805,9.86977
8.14,0.199804,9.86979
8.15,0.199803,9.86982
8.16,0.199803,9.86984
8.17,0.199802,9.86986
8.18,0.199801,9.86989
8.19,0.1998,9.86991
8.2,0.199799,9.86994
8.21,0.199799,9.86996
8.22,0.199798,9.86998
8.23,0.199797,9.87001
8.24,0.199796,9.87003
8.25,0.199795,9.87006
8.26,0.199795,9.87008
8.27,0.199794,9.8701
8.28,0.199793,9.87013
8.29,0.199792,9.87015
8.3,0.199791,9.87017
8.31,0.19979,9.8702
8.32,0.19979,9.87022
8.33,0.199789,9.87025
8.34,0.199788,9.87027
8.35,0.199787,9.87029
8.36,0.199786,9.87032
8.37,0.199785,9.87034
8.38,0.199784,9.87037
8.39,0.199784,9.87039
8.4,0.199783,9.87041
8.41,0.199782,9.87044
8.42,0.199781,9.87046
8.43,0.19978,9.87048
8.44,0.199779,9.87051
8.45,0.199778,9.87053
8.46,0.199777,9.87056
8.47,0.199776,9.87058
8.48,0.199776,9.8706
8.49,0.199775,9.87063
8.5,0.199774,9.87065
8.51,0.199773,9.87068
8.52,0.199772,9.8707
8.53,0.199771,9.87072
8.54,0.19977,9.87075
8.55,0.199769,9.87077
8.56,0.199768,9.87079
8.57,0.199767,9.87082
8.58,0.199766,9.87084
8.59,0.199765,9.87087
8.6,0.199764,9.87089
8.61,0.199763,9.87091
8.62,0.199762,9.87094
8.63,0.199761,9.87096
8.64,0.19976,9.87099
8.65,0.199759,9.87101
8.66,0.199759,9.87103
8.67,0.199758,9.87106
8.68,0.199757,9.87108
8.69,0.199756,9.8711
8.7,0.199755,9.87113
8.71,0.199754,9.87115
8.72,0.199753,9.87118
8.73,0.199751,9.8712
8.74,0.19975,9.87122
8.75,0.199749,9.87125
8.76,0.199748,9.87127
8.77,0.19972,9.87129
8.78,0.199675,9.87132
8.79,0.199648,9.87134
8.8,0.199605,9.87136
8.81,0.19958,9.87138
8.82,0.199565,9.8714
8.83,0.199557,9.87142
8.84,0.199553,9.87144
8.85,0.199524,9.87146
8.86,0.199507,9.87148
8.87,0.199498,9.8715
8.88,0.199494,9.87152
8.89,0.199493,9.87154
8.9,0.199493,9.87156
8.91,0.199494,9.87158
8.92,0.199496,9.8716
8.93,0.199498,9.87162
8.94,0.1995,9.87164
8.95,0.199503,9.87166
8.96,0.199505,9.87168
8.97,0.199508,9.8717
8.98,0.19951,9.87172
8.99,0.199513,9.87174
9,0.199516,9.87176
9.01,0.199518,9.87178
9.02,0.199521,9.8718
9.03,0.199524,9.87182
9.04,0.199526,9.87184
9.05,0.199529,9.87186
9.06,0.199532,9.87188
9.07,0.199534,9.8719
9.08,0.199537,9.87192
9.09,0.199539,9.87194
9.1,0.199542,9.87196
9.11,0.199545,9.87198
9.12,0.199547,9.872
9.13,0.19955,9.87202
9.14,0.199553,9.87204
9.15,0.199555,9.87206
9.16,0.199558,9.87208
9.17,0.199588,9.8721
9.18,0.199607,9.87213
9.19,0.199619,9.87215
9.2,0.199627,9.87217
9.21,0.199632,9.87219
9.22,0.199636,9.87221
9.23,0.199639,9.87223
9.24,0.199641,9.87225
9.25,0.199643,9.87227
9.26,0.199645,9.87229
9.27,0.199647,9.87231
9.28,0.199649,9.87234
9.29,0.19965,9.87236
9.3,0.199652,9.87238
9.31,0.199681,9.8724
9.32,0.199699,9.87242
9.33,0.19971,9.87244
9.34,0.199717,9.87247
9.35,0.199721,9.87249
9.36,0.199724,9.87251
9.37,0.199726,9.87253
9.38,0.199728,9.87255
9.39,0.199729,9.87257
9.4,0.19973,9.8726
9.41,0.19973,9.87262
9.42,0.199731,9.87264
9.43,0.199732,9.87266
9.44,0.199732,9.87268
9.45,0.199733,9.87271
9.46,0.199734,9.87273
9.47,0.199734,9.87275
9.48,0.199735,9.87277
9.49,0.199736,9.87279
9.5,0.199736,9.87282
9.51,0.199737,9.87284
9.52,0.199737,9.87286
9.53,0.199738,9.87288
9.54,0.199738,9.8729
9.55,0.199739,9.87293
9.56,0.19974,9.87295
9.57,0.19974,9.87297
9.58,0.199741,9.87299
9.59,0.199741,9.87301
9.6,0.199742,9.87304
9.61,0.199742,9.87306
9.62,0.199743,9.87308
9.63,0.199743,9.8731
9.64,0.199744,9.87312
9.65,0.199744,9.87315
9.66,0.199745,9.87317
9.67,0.199746,9.87319
9.68,0.199746,9.87321
9.69,0.199747,9.87323
9.7,0.199747,9.87325
9.71,0.199748,9.87328
9.72,0.199776,9.8733
9.73,0.199792,9.87332
9.74,0.199802,9.87335
9.75,0.199808,9.87337
9.76,0.199811,9.87339
9.77,0.199813,9.87341
9.78,0.199814,9.87344
9.79,0.199814,9.87346
9.8,0.199814,9.87348
9.81,0.199814,9.87351
9.82,0.199814,9.87353
9.83,0.199813,9.87355
9.84,0.199813,9.87357
9.85,0.199813,9.8736
9.86,0.199812,9.87362
9.87,0.199812,9.87364
9.88,0.199811,9.87367
9.89,0.199811,9.87369
9.9,0.19981,9.87371
9.91,0.19981,9.87373
9.92,0.199809,9.87376
9.93,0.199809,9.87378
9.94,0.199808,9.8738
9.95,0.199807,9.87383
9.96,0.199807,9.87385
9.97,0.199806,9.87387
9.98,0.199806,9.87389
9.99,0.199805,9.87392
10,0.199805,9.87394
10.01,0.199804,9.87396
